Timestamp,Your Gender,Your age (completed in years),Your weight (in Kg),I like orange,I like grapes,I like banana,I like apple,I like mango,I like cherry,Your Height (in cm)
11/21/2022 21:53:30,Male,42,68,my favorite,some what,seasonally,some what,seasonally,not at all,145
11/21/2022 22:03:09,Female,39,63,seasonally,seasonally,seasonally,seasonally,my favorite,seasonally,155
11/21/2022 22:16:21,Male,36,65,seasonally,some what,my favorite,seasonally,my favorite,if no other fruits available,162
11/22/2022 11:11:32,Male,21,60,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,174
11/22/2022 11:11:37,Male,21,105,seasonally,seasonally,not at all,seasonally,my favorite,seasonally,172
11/22/2022 11:12:23,Male,21,65,some what,seasonally,if no other fruits available,my favorite,seasonally,not at all,175
11/22/2022 11:12:57,Female,29,68,seasonally,some what,some what,some what,my favorite,some what,163
11/22/2022 11:13:00,Female,20,78,some what,if no other fruits available,if no other fruits available,not at all,my favorite,not at all,168
11/22/2022 11:13:17,Male,21,71,my favorite,my favorite,my favorite,my favorite,my favorite,some what,178.6
11/22/2022 11:13:21,Female,21,50,seasonally,if no other fruits available,my favorite,some what,my favorite,my favorite,164
11/22/2022 11:13:33,Female,35,73,seasonally,my favorite,seasonally,seasonally,my favorite,seasonally,165
11/22/2022 11:13:40,Male,21,66,my favorite,my favorite,seasonally,my favorite,my favorite,some what,173
11/22/2022 11:13:48,Female,21,55,my favorite,my favorite,seasonally,seasonally,seasonally,seasonally,168
11/22/2022 11:13:50,Female,21,55,seasonally,my favorite,some what,my favorite,seasonally,some what,168
11/22/2022 11:14:04,Female,22,54,some what,my favorite,if no other fruits available,my favorite,seasonally,some what,154
11/22/2022 11:14:05,Female,21,64,seasonally,seasonally,if no other fruits available,my favorite,my favorite,not at all,157
11/22/2022 11:14:17,Male,21,54,some what,some what,some what,my favorite,some what,some what,169
11/22/2022 11:14:23,Female,20,45,my favorite,my favorite,some what,some what,my favorite,some what,164
11/22/2022 11:14:33,Female,21,53,my favorite,some what,my favorite,seasonally,not at all,some what,164
11/22/2022 11:14:37,Female,21,52,some what,if no other fruits available,my favorite,some what,my favorite,if no other fruits available,162
11/22/2022 11:14:38,Male,22,60,some what,some what,my favorite,my favorite,my favorite,not at all,170
11/22/2022 11:14:41,Female,21,60,seasonally,some what,my favorite,seasonally,my favorite,seasonally,165
11/22/2022 11:14:45,Male,21,63,some what,my favorite,not at all,some what,seasonally,some what,166
11/22/2022 11:15:02,Male,21,83,my favorite,my favorite,some what,my favorite,seasonally,some what,177
11/22/2022 11:15:03,Female,22,59,my favorite,if no other fruits available,if no other fruits available,seasonally,my favorite,my favorite,153
11/22/2022 11:15:07,Female,21,54,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,166
11/22/2022 11:15:09,Female,22,50,my favorite,my favorite,some what,my favorite,my favorite,my favorite,158
11/22/2022 11:15:23,Female,21,65,my favorite,my favorite,some what,my favorite,my favorite,my favorite,169
11/22/2022 11:15:57,Female,21,62,some what,my favorite,if no other fruits available,seasonally,seasonally,some what,160
11/22/2022 11:16:07,Female,30,65,my favorite,my favorite,seasonally,my favorite,my favorite,my favorite,160
11/22/2022 11:16:25,Female,21,55,some what,my favorite,some what,my favorite,seasonally,seasonally,162
11/22/2022 11:16:38,Female,21,42,my favorite,seasonally,my favorite,some what,my favorite,if no other fruits available,160
11/22/2022 11:17:13,Female,21,54,seasonally,seasonally,seasonally,my favorite,my favorite,seasonally,166
11/22/2022 11:17:42,Female,22,45,my favorite,my favorite,my favorite,my favorite,my favorite,my favorite,166
11/22/2022 11:19:35,Male,21,75,some what,some what,some what,seasonally,my favorite,seasonally,180
11/22/2022 11:25:26,Female,22,59,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,150
11/22/2022 11:30:38,Female,22,53,seasonally,if no other fruits available,my favorite,my favorite,my favorite,seasonally,169
11/22/2022 11:31:23,Female,21,51,seasonally,seasonally,if no other fruits available,seasonally,seasonally,if no other fruits available,163
11/22/2022 11:31:32,Female,21,62,seasonally,seasonally,some what,my favorite,my favorite,my favorite,165
11/25/2022 10:51:02,Female,21,62,seasonally,my favorite,seasonally,seasonally,my favorite,my favorite,163
11/25/2022 10:51:49,Female,22,53,my favorite,seasonally,my favorite,seasonally,my favorite,if no other fruits available,169
11/25/2022 10:51:50,Female,21,43,my favorite,my favorite,some what,some what,my favorite,if no other fruits available,163
11/25/2022 10:51:50,Female,21,65,seasonally,if no other fruits available,my favorite,some what,my favorite,not at all,165
11/25/2022 10:51:57,Female,21,54,seasonally,seasonally,seasonally,my favorite,my favorite,seasonally,167
11/25/2022 10:52:01,Female,22,65,seasonally,seasonally,my favorite,my favorite,seasonally,seasonally,165
11/25/2022 10:52:04,Female,22,48,my favorite,seasonally,if no other fruits available,not at all,not at all,some what,154
11/25/2022 10:52:07,Female,21,153,some what,my favorite,my favorite,if no other fruits available,my favorite,not at all,49
11/25/2022 10:52:10,Female,21,51,seasonally,seasonally,if no other fruits available,seasonally,seasonally,if no other fruits available,163
11/25/2022 10:52:19,Female,21,42,some what,if no other fruits available,my favorite,my favorite,seasonally,some what,154
11/25/2022 10:52:23,Female,21,45,seasonally,seasonally,my favorite,seasonally,my favorite,some what,158
11/25/2022 10:52:32,Female,21,53,if no other fruits available,my favorite,not at all,my favorite,my favorite,seasonally,162
11/25/2022 10:52:38,Female,21,60,seasonally,seasonally,seasonally,seasonally,my favorite,not at all,163
11/25/2022 10:52:38,Female,22,48,seasonally,seasonally,some what,seasonally,my favorite,my favorite,158
11/25/2022 10:52:39,Female,22,55,seasonally,my favorite,not at all,my favorite,my favorite,my favorite,175
11/25/2022 10:52:41,Female,21,68,seasonally,seasonally,seasonally,seasonally,my favorite,some what,157
11/25/2022 10:52:43,Female,21,40,seasonally,my favorite,seasonally,if no other fruits available,my favorite,my favorite,156
11/25/2022 10:52:48,Female,21,42,seasonally,my favorite,some what,seasonally,seasonally,seasonally,150
11/25/2022 10:52:54,Female,21,55,my favorite,my favorite,seasonally,my favorite,my favorite,seasonally,157
11/25/2022 10:52:58,Male,22,70,some what,my favorite,my favorite,some what,my favorite,some what,177
11/25/2022 10:53:04,Female,20,52,seasonally,seasonally,some what,my favorite,my favorite,some what,162
11/25/2022 10:54:02,Female,22,54,my favorite,seasonally,seasonally,seasonally,seasonally,seasonally,150
11/25/2022 10:54:04,Female,21,50,my favorite,seasonally,my favorite,my favorite,my favorite,seasonally,154
11/25/2022 11:46:31,Female,22,67,my favorite,my favorite,my favorite,my favorite,my favorite,my favorite,157
11/29/2022 10:03:19,Male,21,64,if no other fruits available,seasonally,some what,my favorite,my favorite,some what,152
11/29/2022 10:03:25,Male,20,51,my favorite,my favorite,seasonally,seasonally,my favorite,my favorite,171
11/29/2022 10:03:26,Male,21,90,seasonally,seasonally,seasonally,seasonally,my favorite,seasonally,190
11/29/2022 10:03:36,Female,19,55,my favorite,seasonally,seasonally,seasonally,my favorite,seasonally,165.5
11/29/2022 10:03:44,Male,20,75,seasonally,seasonally,seasonally,my favorite,my favorite,some what,179
11/29/2022 10:03:48,Male,20,80,some what,my favorite,some what,if no other fruits available,my favorite,seasonally,180
11/29/2022 10:03:50,Female,20,48,my favorite,my favorite,my favorite,seasonally,seasonally,some what,160
11/29/2022 10:03:52,Female,20,60,my favorite,my favorite,my favorite,seasonally,my favorite,seasonally,164
11/29/2022 10:03:53,Male,20,65,my favorite,my favorite,not at all,some what,seasonally,seasonally,5.7
11/29/2022 10:03:55,Female,22,40,my favorite,seasonally,my favorite,my favorite,my favorite,seasonally,153
11/29/2022 10:03:56,Female,20,45,seasonally,seasonally,seasonally,seasonally,my favorite,my favorite,152
11/29/2022 10:03:57,Male,20,55,my favorite,my favorite,if no other fruits available,my favorite,my favorite,some what,60
11/29/2022 10:03:57,Male,20,56,my favorite,my favorite,some what,my favorite,my favorite,seasonally,180
11/29/2022 10:03:57,Female,20,41,my favorite,some what,not at all,if no other fruits available,my favorite,some what,155
11/29/2022 10:03:57,Female,20,43,my favorite,seasonally,seasonally,seasonally,my favorite,seasonally,152
11/29/2022 10:03:58,Male,20,60,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,172
11/29/2022 10:03:58,Male,20,50,some what,if no other fruits available,if no other fruits available,seasonally,seasonally,seasonally,178
11/29/2022 10:04:01,Female,22,49,my favorite,my favorite,seasonally,seasonally,my favorite,seasonally,163
11/29/2022 10:04:03,Female,21,66,seasonally,seasonally,some what,my favorite,some what,not at all,160
11/29/2022 10:04:05,Female,20,52,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,152
11/29/2022 10:04:05,Female,20,48,seasonally,seasonally,some what,my favorite,my favorite,seasonally,162
11/29/2022 10:04:06,Female,20,44,seasonally,my favorite,not at all,some what,seasonally,seasonally,155
11/29/2022 10:04:06,Male,22,64,seasonally,some what,seasonally,my favorite,my favorite,seasonally,173
11/29/2022 10:04:07,Male,19,55,my favorite,if no other fruits available,my favorite,my favorite,my favorite,seasonally,172
11/29/2022 10:04:08,Female,20,49,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,154
11/29/2022 10:04:12,Female,21,46,seasonally,some what,not at all,my favorite,my favorite,seasonally,155
11/29/2022 10:04:13,Female,20,45,my favorite,not at all,not at all,not at all,not at all,my favorite,152
11/29/2022 10:04:14,Female,20,45,some what,some what,some what,seasonally,my favorite,not at all,150
11/29/2022 10:04:16,Male,20,100,seasonally,seasonally,if no other fruits available,some what,my favorite,my favorite,161
11/29/2022 10:04:16,Male,21,65,seasonally,my favorite,some what,seasonally,seasonally,my favorite,165
11/29/2022 10:04:17,Female,20,46,some what,my favorite,not at all,some what,my favorite,not at all,152
11/29/2022 10:04:17,Male,21,68,seasonally,seasonally,seasonally,my favorite,my favorite,some what,177
11/29/2022 10:04:17,Male,20,66,some what,not at all,not at all,seasonally,seasonally,some what,165
11/29/2022 10:04:18,Female,20,55,seasonally,seasonally,some what,my favorite,my favorite,if no other fruits available,163
11/29/2022 10:04:19,Female,20,40,my favorite,my favorite,my favorite,my favorite,my favorite,my favorite,150
11/29/2022 10:04:20,Female,21,42,some what,my favorite,not at all,some what,my favorite,some what,152
11/29/2022 10:04:20,Female,20,62,seasonally,seasonally,some what,seasonally,seasonally,not at all,163
11/29/2022 10:04:21,Male,20,60,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,167
11/29/2022 10:04:22,Female,20,44,my favorite,not at all,some what,some what,my favorite,not at all,147
11/29/2022 10:04:24,Female,19,50,some what,some what,if no other fruits available,seasonally,some what,some what,153
11/29/2022 10:04:25,Male,21,50,seasonally,my favorite,my favorite,seasonally,seasonally,some what,150
11/29/2022 10:04:26,Male,20,70,seasonally,not at all,not at all,some what,my favorite,some what,175
11/29/2022 10:04:27,Male,20,55,some what,some what,some what,some what,not at all,some what,170
11/29/2022 10:04:28,Female,20,50,some what,my favorite,not at all,some what,my favorite,if no other fruits available,155
11/29/2022 10:04:30,Male,21,60,my favorite,my favorite,if no other fruits available,seasonally,my favorite,not at all,179
11/29/2022 10:04:30,Female,20,75,seasonally,some what,if no other fruits available,some what,my favorite,seasonally,161
11/29/2022 10:04:33,Male,20,55,seasonally,seasonally,some what,some what,seasonally,seasonally,163
11/29/2022 10:04:35,Male,20,68,seasonally,my favorite,if no other fruits available,my favorite,my favorite,some what,177
11/29/2022 10:04:35,Male,20,82,seasonally,seasonally,my favorite,my favorite,seasonally,some what,176
11/29/2022 10:04:35,Female,21,50,seasonally,some what,some what,my favorite,my favorite,my favorite,165
11/29/2022 10:04:36,Female,20,42,my favorite,seasonally,some what,seasonally,seasonally,if no other fruits available,150
11/29/2022 10:04:39,Female,20,45,some what,some what,if no other fruits available,my favorite,my favorite,my favorite,145
11/29/2022 10:04:44,Female,20,50,not at all,seasonally,not at all,seasonally,my favorite,some what,150
11/29/2022 10:04:46,Male,20,67,seasonally,seasonally,seasonally,my favorite,some what,some what,160
11/29/2022 10:04:57,Male,20,82,if no other fruits available,if no other fruits available,seasonally,my favorite,my favorite,some what,178
11/29/2022 10:05:05,Male,20,65,seasonally,some what,my favorite,some what,my favorite,if no other fruits available,178
11/29/2022 10:05:09,Male,20,59,some what,seasonally,some what,seasonally,my favorite,my favorite,165
11/29/2022 10:05:16,Male,20,66,seasonally,seasonally,my favorite,some what,some what,if no other fruits available,172
11/29/2022 10:05:20,Male,20,72,seasonally,my favorite,seasonally,my favorite,my favorite,not at all,182
11/29/2022 10:05:21,Male,20,65,not at all,some what,not at all,seasonally,seasonally,if no other fruits available,184
11/29/2022 10:05:24,Female,20,54,seasonally,some what,if no other fruits available,seasonally,my favorite,some what,155
11/29/2022 10:05:29,Male,22,85,seasonally,seasonally,seasonally,my favorite,my favorite,seasonally,164
11/29/2022 10:05:33,Male,20,78,seasonally,seasonally,seasonally,some what,my favorite,if no other fruits available,178
11/29/2022 10:05:34,Male,21,70,seasonally,seasonally,seasonally,some what,seasonally,some what,170
11/29/2022 10:05:35,Female,21,54,seasonally,some what,some what,some what,seasonally,if no other fruits available,153
11/29/2022 10:05:44,Male,21,73,my favorite,my favorite,my favorite,my favorite,my favorite,if no other fruits available,180
11/29/2022 10:05:46,Male,21,59,some what,my favorite,if no other fruits available,some what,my favorite,seasonally,152
11/29/2022 10:05:48,Male,20,70,if no other fruits available,seasonally,seasonally,seasonally,seasonally,seasonally,175
11/29/2022 10:07:09,Male,20,78,seasonally,some what,if no other fruits available,seasonally,some what,some what,178
11/29/2022 10:07:42,Male,20,65,not at all,not at all,my favorite,not at all,not at all,not at all,150
11/29/2022 10:08:29,Female,20,42,my favorite,seasonally,if no other fruits available,if no other fruits available,my favorite,my favorite,142
11/29/2022 10:08:54,Male,20,50,not at all,not at all,my favorite,not at all,not at all,not at all,180
11/29/2022 10:09:31,Male,20,60,some what,seasonally,some what,some what,some what,some what,170
11/29/2022 11:25:49,Male,21,80,some what,my favorite,some what,some what,some what,if no other fruits available,181
11/29/2022 11:45:20,Male,19,98,my favorite,seasonally,if no other fruits available,some what,my favorite,some what,175
11/30/2022 6:43:05,Male,19,63.5,if no other fruits available,seasonally,some what,seasonally,my favorite,not at all,180
1/28/2023 12:44:10,Male,35,65,some what,if no other fruits available,some what,seasonally,my favorite,some what,183
1/28/2023 12:44:17,Female,27,90,seasonally,my favorite,if no other fruits available,some what,my favorite,seasonally,170
1/28/2023 12:44:46,Female,42,60,seasonally,my favorite,seasonally,seasonally,seasonally,seasonally,152
1/28/2023 12:45:02,Female,36,64,some what,some what,some what,my favorite,my favorite,some what,164
1/28/2023 12:45:11,Female,34,65,seasonally,seasonally,seasonally,seasonally,my favorite,some what,154
1/28/2023 12:45:12,Female,38,66,some what,some what,some what,some what,my favorite,my favorite,154
1/28/2023 12:45:16,Female,34,53,seasonally,seasonally,my favorite,seasonally,some what,seasonally,150
1/28/2023 12:45:23,Female,38,75,my favorite,some what,some what,some what,my favorite,seasonally,168
1/28/2023 12:45:36,Female,32,70,some what,some what,my favorite,seasonally,seasonally,my favorite,165
1/28/2023 12:45:58,Female,36,75,seasonally,if no other fruits available,some what,seasonally,my favorite,some what,165
1/28/2023 12:46:03,Female,42,64,some what,not at all,my favorite,some what,my favorite,not at all,162
1/28/2023 12:46:05,Female,27,50,seasonally,my favorite,some what,seasonally,seasonally,seasonally,154
1/28/2023 12:46:15,Female,30,65,seasonally,some what,if no other fruits available,some what,my favorite,some what,160
1/28/2023 12:46:29,Female,31,65,seasonally,seasonally,some what,my favorite,my favorite,seasonally,154
1/28/2023 12:47:15,Female,38,58,some what,some what,my favorite,my favorite,my favorite,some what,157
02-02-2023 12:49,Male,34,67,seasonally,some what,some what,my favorite,my favorite,if no other fruits available,165
02-02-2023 12:50,Male,32,93,some what,some what,some what,my favorite,my favorite,some what,181
02-02-2023 12:50,Female,33,44,seasonally,not at all,my favorite,some what,my favorite,my favorite,145
02-02-2023 12:50,Female,33,62,seasonally,seasonally,if no other fruits available,some what,my favorite,my favorite,163
02-02-2023 12:50,Female,31,64,my favorite,not at all,if no other fruits available,not at all,my favorite,my favorite,164
02-02-2023 12:50,Female,32,56,my favorite,seasonally,some what,my favorite,my favorite,some what,157
02-02-2023 12:50,Female,34,78,seasonally,my favorite,if no other fruits available,if no other fruits available,my favorite,if no other fruits available,166
02-02-2023 12:50,Female,38,69,if no other fruits available,seasonally,my favorite,my favorite,my favorite,not at all,155
02-02-2023 12:51,Female,30,55,my favorite,some what,seasonally,if no other fruits available,my favorite,seasonally,147
02-02-2023 12:51,Female,35,55,seasonally,seasonally,seasonally,seasonally,my favorite,my favorite,160
02-02-2023 13:20,Female,40,70,my favorite,seasonally,seasonally,some what,my favorite,if no other fruits available,164
02-02-2023 13:26,Female,52,58,seasonally,seasonally,my favorite,seasonally,my favorite,seasonally,156
06-09-2023 11:05,Male,20,93,seasonally,seasonally,my favorite,seasonally,my favorite,if no other fruits available,178
06-09-2023 11:05,Male,20,50,my favorite,seasonally,seasonally,some what,seasonally,seasonally,175
06-09-2023 11:06,Male,20,59,my favorite,seasonally,seasonally,not at all,seasonally,some what,177
06-09-2023 11:08,Male,20,70,seasonally,seasonally,seasonally,my favorite,my favorite,my favorite,178
06-09-2023 11:10,Male,20,70,seasonally,seasonally,seasonally,seasonally,my favorite,my favorite,175
06-09-2023 11:11,Male,20,68,some what,if no other fruits available,some what,my favorite,my favorite,some what,192
06-09-2023 11:12,Male,20,65,seasonally,seasonally,my favorite,seasonally,my favorite,seasonally,179
06-09-2023 11:12,Male,21,55,some what,my favorite,some what,some what,my favorite,some what,175
06-09-2023 11:13,Male,20,60,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,180
06-09-2023 11:13,Male,19,62,some what,some what,seasonally,my favorite,my favorite,some what,165
06-09-2023 11:13,Male,20,53,seasonally,seasonally,seasonally,my favorite,seasonally,if no other fruits available,177
06-09-2023 11:13,Male,19,55,if no other fruits available,seasonally,seasonally,my favorite,some what,some what,175
06-09-2023 11:13,Male,19,57,my favorite,seasonally,seasonally,seasonally,seasonally,my favorite,180
06-09-2023 11:13,Male,19,63,seasonally,some what,not at all,some what,my favorite,if no other fruits available,170
06-09-2023 11:13,Male,20,60,not at all,my favorite,my favorite,my favorite,not at all,my favorite,175
06-09-2023 11:13,Male,19,78,seasonally,my favorite,seasonally,seasonally,seasonally,seasonally,170
06-09-2023 11:13,Male,20,50,some what,some what,some what,some what,some what,some what,178
06-09-2023 11:13,Male,20,52,seasonally,not at all,if no other fruits available,seasonally,my favorite,not at all,168
06-09-2023 11:13,Female,20,52,some what,seasonally,not at all,my favorite,my favorite,some what,155
06-09-2023 11:13,Male,20,52,seasonally,seasonally,seasonally,my favorite,some what,seasonally,160
06-09-2023 11:14,Male,20,64,seasonally,some what,some what,my favorite,some what,my favorite,170
06-09-2023 11:14,Male,20,55,seasonally,some what,if no other fruits available,my favorite,if no other fruits available,some what,180
06-09-2023 11:14,Male,20,77,seasonally,not at all,not at all,my favorite,if no other fruits available,not at all,169
06-09-2023 11:14,Male,19,60,seasonally,some what,if no other fruits available,my favorite,my favorite,some what,170
06-09-2023 11:14,Male,19,51,seasonally,some what,if no other fruits available,my favorite,seasonally,some what,160
06-09-2023 11:14,Male,20,65,my favorite,my favorite,my favorite,my favorite,my favorite,my favorite,182
06-09-2023 11:14,Male,20,70,seasonally,seasonally,seasonally,seasonally,my favorite,my favorite,170
06-09-2023 11:15,Female,29,50,seasonally,my favorite,if no other fruits available,my favorite,seasonally,my favorite,171
06-09-2023 11:15,Female,28,50,some what,some what,some what,some what,some what,some what,165
06-09-2023 11:15,Male,20,72,my favorite,my favorite,seasonally,my favorite,seasonally,some what,175
06-09-2023 11:15,Female,19,65,some what,seasonally,my favorite,seasonally,seasonally,some what,165
06-09-2023 11:15,Male,19,53,seasonally,my favorite,some what,seasonally,my favorite,my favorite,159
06-09-2023 11:15,Male,20,57,seasonally,seasonally,my favorite,my favorite,my favorite,not at all,165
06-09-2023 11:15,Female,19,56,seasonally,seasonally,some what,seasonally,my favorite,my favorite,154
06-09-2023 11:16,Female,20,50,some what,some what,some what,not at all,not at all,not at all,170
06-09-2023 11:16,Female,20,50,seasonally,some what,if no other fruits available,my favorite,my favorite,not at all,173
06-09-2023 11:16,Male,19,60,seasonally,seasonally,some what,my favorite,seasonally,if no other fruits available,165
06-09-2023 11:16,Male,21,45,some what,some what,not at all,seasonally,my favorite,my favorite,150
06-09-2023 11:16,Female,19,50,some what,seasonally,some what,some what,some what,some what,163
06-09-2023 11:16,Female,19,70,my favorite,my favorite,seasonally,seasonally,my favorite,some what,164
06-09-2023 11:17,Female,19,44,my favorite,my favorite,my favorite,my favorite,my favorite,not at all,160
06-09-2023 11:18,Female,19,45,seasonally,some what,not at all,seasonally,seasonally,seasonally,155
06-09-2023 11:18,Male,20,47,not at all,seasonally,my favorite,my favorite,seasonally,seasonally,168
06-09-2023 11:19,Male,19,64,my favorite,if no other fruits available,my favorite,my favorite,seasonally,seasonally,170
06-09-2023 11:19,Female,19,54,seasonally,my favorite,my favorite,my favorite,seasonally,not at all,165
06-09-2023 11:19,Female,19,60,my favorite,some what,seasonally,some what,my favorite,if no other fruits available,164
06-09-2023 11:19,Female,20,38,not at all,my favorite,if no other fruits available,not at all,my favorite,not at all,156
06-09-2023 11:20,Female,20,50,seasonally,seasonally,some what,if no other fruits available,my favorite,some what,160
06-09-2023 11:21,Male,21,65,my favorite,some what,not at all,if no other fruits available,some what,some what,176
06-09-2023 11:22,Male,20,60,seasonally,my favorite,some what,my favorite,my favorite,seasonally,160
06-09-2023 11:25,Male,19,63,some what,seasonally,if no other fruits available,my favorite,some what,some what,170
06-09-2023 11:26,Male,20,59.8,seasonally,seasonally,seasonally,seasonally,my favorite,seasonally,172
10-12-2023 15:25,Male,19,68,my favorite,my favorite,my favorite,my favorite,my favorite,my favorite,173
10-12-2023 15:25,Male,19,72,my favorite,seasonally,not at all,seasonally,my favorite,my favorite,165
10-12-2023 15:26,Female,19,47,seasonally,seasonally,some what,seasonally,my favorite,seasonally,150
10-12-2023 15:26,Male,19,64,my favorite,my favorite,my favorite,my favorite,my favorite,seasonally,175
10-12-2023 15:26,Male,18,65,my favorite,my favorite,my favorite,my favorite,my favorite,my favorite,177
10-12-2023 15:27,Female,19,59,seasonally,my favorite,if no other fruits available,my favorite,not at all,some what,162
10-12-2023 15:27,Female,19,47,my favorite,seasonally,some what,seasonally,if no other fruits available,not at all,165
10-12-2023 15:27,Female,19,42,seasonally,not at all,some what,not at all,my favorite,some what,158
10-12-2023 15:27,Male,19,65,if no other fruits available,if no other fruits available,if no other fruits available,if no other fruits available,if no other fruits available,if no other fruits available,175
10-12-2023 15:27,Female,18,45,seasonally,seasonally,some what,seasonally,seasonally,some what,165
10-12-2023 15:27,Female,19,45,seasonally,some what,if no other fruits available,some what,not at all,not at all,160
10-12-2023 15:27,Female,19,40,seasonally,seasonally,my favorite,not at all,my favorite,not at all,164
10-12-2023 15:27,Female,19,60,seasonally,my favorite,if no other fruits available,some what,my favorite,seasonally,160
10-12-2023 15:27,Female,18,45,seasonally,some what,if no other fruits available,my favorite,my favorite,seasonally,160
10-12-2023 15:27,Female,20,43,seasonally,my favorite,if no other fruits available,some what,my favorite,seasonally,155
10-12-2023 15:27,Female,19,55,seasonally,some what,seasonally,some what,my favorite,not at all,154
10-12-2023 15:27,Female,18,44,seasonally,not at all,if no other fruits available,not at all,seasonally,not at all,153
10-12-2023 15:28,Male,20,68,my favorite,my favorite,my favorite,my favorite,my favorite,my favorite,170
10-12-2023 15:28,Male,20,80,my favorite,my favorite,my favorite,my favorite,my favorite,some what,177
10-12-2023 15:28,Male,18,70,my favorite,not at all,not at all,not at all,not at all,not at all,180
10-12-2023 15:28,Female,20,48,seasonally,seasonally,if no other fruits available,seasonally,seasonally,some what,163
10-12-2023 15:28,Male,19,85,seasonally,seasonally,seasonally,my favorite,my favorite,seasonally,165
10-12-2023 15:28,Female,19,45,my favorite,seasonally,some what,if no other fruits available,my favorite,not at all,163
10-12-2023 15:28,Male,18,78.5,some what,some what,some what,some what,some what,some what,183
10-12-2023 15:28,Female,19,38,if no other fruits available,my favorite,some what,some what,seasonally,if no other fruits available,153
10-12-2023 15:29,Female,20,40,seasonally,seasonally,some what,my favorite,my favorite,some what,153
10-12-2023 15:29,Male,20,58,my favorite,seasonally,some what,my favorite,seasonally,my favorite,174
10-12-2023 15:29,Female,19,56,seasonally,some what,if no other fruits available,my favorite,my favorite,if no other fruits available,162
10-12-2023 15:29,Male,19,68,seasonally,seasonally,some what,seasonally,seasonally,seasonally,170
10-12-2023 15:29,Male,19,60,my favorite,seasonally,my favorite,seasonally,seasonally,my favorite,191
10-12-2023 15:29,Male,20,50,seasonally,some what,my favorite,seasonally,not at all,my favorite,164
10-12-2023 15:29,Male,18,65,seasonally,seasonally,some what,if no other fruits available,my favorite,if no other fruits available,166
10-12-2023 15:29,Male,20,60,seasonally,seasonally,my favorite,seasonally,my favorite,if no other fruits available,165
10-12-2023 15:30,Male,19,68,seasonally,my favorite,some what,seasonally,my favorite,my favorite,179
10-12-2023 15:30,Male,19,100,seasonally,my favorite,seasonally,seasonally,my favorite,if no other fruits available,177
10-12-2023 15:31,Male,19,51,some what,some what,some what,my favorite,seasonally,some what,165
10-12-2023 15:33,Male,19,47,not at all,not at all,not at all,not at all,not at all,not at all,134
